date,DGS3MO,DGS1,DGS2,DGS5,DGS7,DGS10,DGS20,DGS30
1993-10-01,2.98,3.35,3.84,4.72,5.03,5.34,6.12,5.98
1993-10-04,3.02,3.35,3.85,4.71,5.04,5.34,6.10,5.99
1993-10-05,3.06,3.38,3.86,4.72,5.05,5.35,6.12,6.01
1993-10-06,3.04,3.36,3.85,4.70,5.05,5.35,6.12,6.01
1993-10-07,3.05,3.35,3.83,4.69,5.05,5.33,6.11,6.01
1993-10-08,3.05,3.33,3.78,4.61,4.96,5.26,6.02,5.92
1993-10-12,3.12,3.36,3.82,4.64,4.97,5.27,6.02,5.92
1993-10-13,3.10,3.36,3.84,4.64,4.98,5.27,6.03,5.92
1993-10-14,3.08,3.36,3.82,4.61,4.93,5.23,5.98,5.86
1993-10-15,3.08,3.35,3.81,4.57,4.90,5.19,5.91,5.78
1993-10-18,3.13,3.39,3.84,4.66,4.99,5.27,5.99,5.85
1993-10-19,3.13,3.39,3.86,4.66,5.00,5.27,5.98,5.85
1993-10-20,3.11,3.38,3.86,4.64,4.98,5.26,5.97,5.83
1993-10-21,3.12,3.40,3.89,4.72,5.07,5.35,6.06,5.92
1993-10-22,3.11,3.42,3.91,4.76,5.15,5.42,6.13,5.98
1993-10-25,3.14,3.45,3.95,4.82,5.21,5.47,6.17,6.02
1993-10-26,3.16,3.45,3.93,4.79,5.17,5.43,6.14,6.00
1993-10-27,3.15,3.47,3.99,4.82,5.19,5.44,6.15,6.00
1993-10-28,3.11,3.47,3.97,4.83,5.17,5.41,6.11,5.97
1993-10-29,3.10,3.47,3.99,4.83,5.19,5.43,6.12,5.96
1993-11-01,3.18,3.53,4.11,4.96,5.32,5.56,6.19,6.02
1993-11-02,3.19,3.59,4.16,5.02,5.41,5.63,6.28,6.07
1993-11-03,3.16,3.56,4.13,5.01,5.39,5.67,6.32,6.11
1993-11-04,3.15,3.55,4.13,5.03,5.42,5.67,6.34,6.19
1993-11-05,3.13,3.58,4.20,5.11,5.50,5.75,6.40,6.22
1993-11-08,3.17,3.55,4.13,5.04,5.44,5.70,6.38,6.22
1993-11-09,3.18,3.54,4.12,5.02,5.41,5.64,6.31,6.16
1993-11-10,3.19,3.56,4.17,5.08,5.45,5.72,6.38,6.21
1993-11-12,3.18,3.54,4.11,5.02,5.39,5.66,6.33,6.15
1993-11-15,3.18,3.56,4.11,5.02,5.40,5.69,6.36,6.17
1993-11-16,3.16,3.56,4.10,4.98,5.35,5.66,6.35,6.17
1993-11-17,3.16,3.55,4.09,4.99,5.35,5.65,6.35,6.19
1993-11-18,3.18,3.59,4.15,5.06,5.43,5.72,6.40,6.23
1993-11-19,3.20,3.64,4.22,5.16,5.54,5.84,6.50,6.34
1993-11-22,3.21,3.65,4.26,5.20,5.60,5.89,6.53,6.36
1993-11-23,3.19,3.60,4.19,5.14,5.52,5.82,6.46,6.30
1993-11-24,3.19,3.60,4.18,5.11,5.54,5.84,6.47,6.31
1993-11-26,3.18,3.58,4.16,5.08,5.49,5.78,6.43,6.26
1993-11-29,3.20,3.60,4.17,5.08,5.46,5.76,6.40,6.23
1993-11-30,3.21,3.65,4.22,5.15,5.53,5.83,6.46,6.29
1993-12-01,3.19,3.62,4.20,5.14,5.52,5.82,6.44,6.28
1993-12-02,3.18,3.62,4.22,5.16,5.52,5.81,6.42,6.27
1993-12-03,3.18,3.62,4.24,5.16,5.52,5.80,6.39,6.25
1993-12-06,3.18,3.57,4.19,5.09,5.43,5.72,6.31,6.17
1993-12-07,3.16,3.60,4.17,5.10,5.43,5.71,6.31,6.17
1993-12-08,3.15,3.60,4.18,5.09,5.41,5.71,6.31,6.17
1993-12-09,3.13,3.60,4.18,5.07,5.38,5.68,6.29,6.15
1993-12-10,3.12,3.62,4.21,5.13,5.45,5.73,6.34,6.19
1993-12-13,3.12,3.62,4.23,5.16,5.50,5.78,6.40,6.24
1993-12-14,3.11,3.63,4.25,5.20,5.54,5.82,6.46,6.29
1993-12-15,3.10,3.61,4.22,5.19,5.55,5.83,6.46,6.29
1993-12-16,3.10,3.60,4.23,5.20,5.56,5.84,6.47,6.31
1993-12-17,3.09,3.58,4.20,5.17,5.52,5.81,6.44,6.29
1993-12-20,3.15,3.61,4.22,5.20,5.54,5.83,6.45,6.30
1993-12-21,3.14,3.62,4.26,5.22,5.56,5.85,6.47,6.32
1993-12-22,3.13,3.59,4.19,5.13,5.46,5.74,6.37,6.22
1993-12-23,3.13,3.59,4.18,5.10,5.42,5.72,6.36,6.22
1993-12-27,3.13,3.61,4.20,5.09,5.42,5.72,6.36,6.23
1993-12-28,3.13,3.60,4.20,5.10,5.42,5.72,6.36,6.24
1993-12-29,3.08,3.60,4.20,5.12,5.44,5.74,6.38,6.25
1993-12-30,3.04,3.62,4.25,5.20,5.53,5.82,6.47,6.34
1993-12-31,3.07,3.63,4.25,5.21,5.53,5.83,6.48,6.35
1994-01-03,3.16,3.67,4.30,5.29,5.66,5.92,6.54,6.41
1994-01-04,3.15,3.65,4.29,5.26,5.62,5.88,6.51,6.37
1994-01-05,3.14,3.66,4.31,5.27,5.64,5.90,6.54,6.40
1994-01-06,3.12,3.65,4.24,5.21,5.57,5.84,6.48,6.36
1994-01-07,3.07,3.54,4.09,5.03,5.39,5.70,6.35,6.24
1994-01-10,3.06,3.53,4.08,5.01,5.36,5.67,6.35,6.24
1994-01-11,3.04,3.51,4.08,5.00,5.34,5.67,6.34,6.25
1994-01-12,3.02,3.47,4.05,4.95,5.29,5.60,6.26,6.17
1994-01-13,3.01,3.52,4.13,5.08,5.41,5.71,6.36,6.26
1994-01-14,3.03,3.55,4.17,5.12,5.46,5.78,6.41,6.30
1994-01-18,3.04,3.53,4.14,5.09,5.43,5.74,6.38,6.28
1994-01-19,3.03,3.52,4.12,5.08,5.43,5.76,6.40,6.30
1994-01-20,3.01,3.47,4.07,5.02,5.38,5.71,6.36,6.27
1994-01-21,3.01,3.50,4.09,5.05,5.39,5.73,6.36,6.29
1994-01-24,3.01,3.50,4.09,5.06,5.40,5.74,6.38,6.30
1994-01-25,2.99,3.51,4.11,5.08,5.43,5.78,6.40,6.34
1994-01-26,2.98,3.53,4.13,5.09,5.41,5.77,6.39,6.33
1994-01-27,2.98,3.52,4.11,5.04,5.37,5.73,6.33,6.27
1994-01-28,2.99,3.49,4.08,4.99,5.30,5.68,6.27,6.21
1994-01-31,3.05,3.53,4.12,5.02,5.34,5.70,6.29,6.23
1994-02-01,3.10,3.60,4.20,5.10,5.43,5.77,6.37,6.31
1994-02-02,3.13,3.61,4.20,5.11,5.43,5.77,6.36,6.29
1994-02-03,3.20,3.73,4.28,5.17,5.48,5.81,6.38,6.31
1994-02-04,3.30,3.84,4.42,5.32,5.62,5.94,6.49,6.37
1994-02-07,3.31,3.83,4.41,5.36,5.65,5.96,6.50,6.38
1994-02-08,3.32,3.86,4.44,5.38,5.70,6.01,6.55,6.44
1994-02-09,3.32,3.85,4.43,5.35,5.67,5.92,6.52,6.43
1994-02-10,3.33,3.86,4.45,5.36,5.68,5.91,6.53,6.45
1994-02-11,3.33,3.84,4.44,5.34,5.66,5.88,6.50,6.41
1994-02-14,3.34,3.85,4.44,5.36,5.67,5.90,6.53,6.45
1994-02-15,3.34,3.85,4.44,5.34,5.66,5.88,6.53,6.45
1994-02-16,3.34,3.86,4.44,5.35,5.67,5.89,6.53,6.46
1994-02-17,3.35,3.89,4.50,5.45,5.77,6.00,6.62,6.54
1994-02-18,3.36,3.93,4.57,5.52,5.87,6.09,6.70,6.63
1994-02-22,3.40,3.93,4.57,5.50,5.84,6.05,6.67,6.60
1994-02-23,3.46,4.01,4.67,5.59,5.92,6.13,6.73,6.65
1994-02-24,3.44,4.03,4.72,5.66,6.01,6.22,6.82,6.75
1994-02-25,3.44,4.05,4.72,5.65,6.00,6.21,6.80,6.73
1994-02-28,3.47,4.03,4.67,5.60,5.94,6.15,6.75,6.67
1994-03-01,3.58,4.16,4.81,5.74,6.08,6.28,6.86,6.79
1994-03-02,3.55,4.15,4.79,5.74,6.09,6.30,6.87,6.79
1994-03-03,3.56,4.21,4.83,5.79,6.14,6.35,6.92,6.84
1994-03-04,3.62,4.26,4.88,5.82,6.16,6.38,6.92,6.85
1994-03-07,3.61,4.23,4.87,5.77,6.12,6.32,6.87,6.80
1994-03-08,3.63,4.28,4.92,5.84,6.17,6.38,6.92,6.85
1994-03-09,3.61,4.29,4.96,5.84,6.17,6.38,6.93,6.85
1994-03-10,3.57,4.30,4.96,5.90,6.28,6.48,7.02,6.94
1994-03-11,3.58,4.28,4.95,5.89,6.25,6.46,6.99,6.91
1994-03-14,3.66,4.32,4.99,5.94,6.30,6.50,7.01,6.93
1994-03-15,3.66,4.32,4.99,5.91,6.25,6.47,6.99,6.90
1994-03-16,3.61,4.28,4.96,5.86,6.18,6.40,6.90,6.82
